FAM46A	RNF14	1.1240214448022585e-05
RNF14	UBE2E1	4.450684932710499e-06
RNF14	UBE2D4	3.0232978224994846e-06
RNF14	UBE2D2	8.648085872168216e-06
RNF14	UBE2D3	9.130830762007419e-06
RNF14	UBE2E3	1.1387341025646302e-05
RNF14	UBE2D1	4.5504837564639265e-06
AR	RNF14	5.883789602487267e-05
DACH1	RNF14	4.008629589094683e-05
RNF14	UBE2V1	3.6116115126890873e-06
RNF14	UBE2E2	6.880758243432982e-06
RNF14	UBE2U	5.206359396830215e-06
RNF14	UBE2W	4.441160765909029e-06
RNF7	UBE2Q1	1.983568746156357e-06
RNF26	UBE2Q1	7.5393888563622e-06
EXOSC7	UBE2Q1	9.754905391244378e-06
IRF2BPL	UBE2Q1	1.820126791350484e-05
FHL3	UBE2Q1	9.912612904765668e-06
RNF17	UBE2U	1.0748300117970228e-05
RNF10	UBE2Q2	3.320358068557633e-05
RNF10	UBE2J2	3.2231421216317546e-05
EEF1A1	RNF10	9.123545248727187e-05
RNF10	TLE1	8.112511809002809e-05
RNF10	UBE2D2	2.9369907797453267e-05
RNF10	UBE2D3	3.053079221260509e-05
RNF10	UBE2D1	1.5316146564244025e-05
LRIF1	RNF10	0.00011241988621976731
RNF10	UBE2D4	1.0097849939274877e-05
CCDC90B	RNF10	2.4284350987787283e-05
RNF10	SETDB1	0.00017589426411228806
RIF1	RNF10	0.0002976095583347855
RNF10	UBE2E1	1.5231751316779402e-05
RNF10	UBE2E3	3.822528550602702e-05
RNF10	UBE2E2	2.264805157814257e-05
RNF10	UTP14A	9.74718836592562e-05
COL4A5	RNF10	0.0002589368369708831
RNF10	UBE2V1	1.2203587221287348e-05
RNF10	UBE2I	4.60999800687344e-06
RNF10	UBE2H	1.1731595681003222e-05
RNF10	UBE2O	0.00011588220401187636
GRB2	RNF10	4.548185906991773e-05
RNF10	UBE2U	1.6713718313674096e-05
RNF10	UBE2W	1.517581485257198e-05
RNF11	WWP2	2.889724231008706e-06
ITCH	RNF11	1.9867268350110453e-06
ANKRD13A	RNF11	8.87325875541662e-07
NEDD4	RNF11	3.771745782813029e-06
RNF11	UBE2D4	3.8750442058949977e-07
RNF11	RPS27A	5.977219274710486e-07
RNF11	UBE2D2	1.1463542093007303e-06
RNF11	UBE2D3	1.1588388902850483e-06
ERCC6	RNF11	4.438975479887346e-06
RNF11	UBE2D1	5.817173896043507e-07
RNF11	ZFYVE9	5.737079531234753e-06
CBLB	RNF11	5.341417749687618e-06
IKBKG	RNF11	0
RNF11	UBAC1	8.801297526943948e-07
QARS	RNF11	2.1228842222244796e-06
POLI	RNF11	4.242989464012424e-06
RNF11	SMURF1	2.2374687077325237e-06
RNF11	SMURF2	2.0350261286140353e-06
HERC2	RNF11	0
RNF11	UBQLN2	2.281542534996221e-06
CALCOCO2	RNF11	1.3812498125686948e-06
RNF11	WWP1	2.5183066406506704e-06
RNF11	ZFYVE16	2.6269878567716597e-06
RNF11	UBQLN4	1.7653306519553898e-06
HUWE1	RNF11	0
EPN2	RNF11	1.6061353255426393e-06
EPRS	RNF11	4.806439094201549e-06
RNF11	SNRNP70	1.1142436949938002e-06
CCDC127	RNF11	4.092711477300708e-07
AUP1	RNF11	9.75014014056418e-07
EPN1	RNF11	1.90792258516117e-06
RABGEF1	RNF11	2.3039368478506045e-06
RNF11	UBE2E1	6.026945929417262e-07
RNF11	UBE2E3	1.434892516384582e-06
RNF11	UBE2E2	8.104551451504417e-07
GGA1	RNF11	1.7076525961842927e-06
DCUN1D1	RNF11	1.4098744487735212e-06
GGA3	RNF11	1.4739382799723862e-06
OPTN	RNF11	1.3746836243102748e-06
EPN3	RNF11	9.115899214890831e-07
RNF11	UBE2V1	3.984641986224351e-07
RNF11	SDCBP	5.752113709547042e-07
RNF11	TAX1BP1	1.9744971201493773e-06
HERC1	RNF11	0
C1ORF124	RNF11	0
RNF11	UBE2N	6.161444631933233e-07
RNF11	USP5	2.146697239065153e-06
RNF11	RNF168	2.448693493540027e-06
MYO6	RNF11	4.340053379028642e-06
RNF11	TNFAIP3	3.532416113821707e-06
PDCD6IP	RNF11	1.8421176172765554e-06
NEDD4L	RNF11	2.8324711944680313e-06
RNF11	UBA52	1.1559811418727782e-06
RNF11	TNIP1	8.142732689485414e-07
PTPRC	RNF11	7.801550461197029e-06
RNF11	TOM1L2	1.0982967391711467e-06
RNF11	UBB	7.695800523053616e-07
RNF11	UBC	3.874887287899016e-06
ASCC2	RNF11	5.68185884048896e-06
RNF11	RNF216	2.3583558555573094e-06
RNF11	UBE2U	6.10589736547462e-07
RNF11	STAM2	2.6796713659144192e-06
RNF13	UBE2N	3.688542204794816e-06
RNF13	UBE2D2	6.144330235611122e-06
RNF13	UBE2D4	2.140076584905564e-06
RNF13	UBE2E1	3.0641858904958456e-06
RNF13	UBE2D3	6.7493158219378844e-06
RNF13	UBE2E3	8.084924530877324e-06
RNF13	UBE2D1	3.2358770914999115e-06
PCGF2	UBE2Q2	3.644384121504193e-06
TRIM25	UBE2Q2	9.57665398924123e-06
UBE2Q2	XIAP	1.3367675743102207e-05
RNF111	UBE2Q2	2.0750662530568526e-05
MGRN1	UBE2Q2	1.6942008685197562e-05
EXOSC7	UBE2Q2	6.024632823097471e-06
MZT2B	SETDB1	3.1285408357154733e-06
CDC37	MZT2B	1.155423711178645e-06
ATRX	DAXX	0
ATRX	FAM190B	0
ATRX	RAD51	0
ATRX	PTN	0
ATRX	LUC7L2	0
ATRX	H3F3A	0
ATRX	KIAA1377	0
ATRX	ZNF512B	0
ATRX	PTPN4	0
ACY3	PMM2	1.482624614860496e-06
CACNA1A	PMM1	3.685502268985449e-05
PMM1	RAB6A	2.053663558190862e-06
ASCC2	ASS1	2.8629848959045875e-05
AKTIP	ASS1	2.3179249896892517e-06
FDXR	FHIT	4.206160393722464e-05
FHIT	HSPD1	3.68681048900965e-05
DISC1	FRYL	9.567145269450948e-05
DISC1	IFT20	4.561845751276907e-06
ACTG1	DISC1	3.718779108449311e-05
DISC1	GNPTAB	5.305537089701659e-05
DISC1	PPP4R1	1.4827707656984801e-05
DISC1	KIFAP3	4.754789099163436e-05
DISC1	SYNE1	0
DISC1	EIF3H	8.198052096449852e-06
